iter	PRAUC	Logloss
0	0.4375305212	0.5913623821
5	0.4564912802	0.3309955962
10	0.4653764335	0.2560384349
15	0.470862839	0.224319012
20	0.4750600839	0.2094764821
25	0.4783849926	0.2002667457
30	0.482991004	0.1950472297
35	0.4865065671	0.19222646
40	0.4891997847	0.1898407955
45	0.4919885565	0.1881119619
50	0.4940562747	0.1870584279
55	0.4958151774	0.1861448135
60	0.4973355686	0.1853797612
65	0.4987578377	0.1845458811
70	0.5003737175	0.1841003134
75	0.501606211	0.1836550712
80	0.5028590287	0.1832514572
85	0.5038091953	0.1828973886
90	0.5048068496	0.1825518882
95	0.5058841785	0.1823140617
100	0.5068876906	0.1820782626
105	0.5078220423	0.1818851719
110	0.5086606754	0.1815852805
115	0.5093316301	0.1813905768
120	0.5100104038	0.1812226879
125	0.5107924355	0.181013748
130	0.5114978683	0.1808755153
135	0.5121849069	0.1806902679
140	0.5128656013	0.18055939
145	0.5135258483	0.1803507165
150	0.5140812164	0.1802289545
155	0.5145728522	0.1801022943
160	0.5151688091	0.1799575798
165	0.5156518815	0.1798634762
170	0.5162041735	0.1797725691
175	0.5167713072	0.1796723389
180	0.5172047509	0.1795677136
185	0.5177316824	0.1794790855
190	0.5182904399	0.1793629321
195	0.5188158146	0.1792777224
200	0.5193635396	0.1791988317
205	0.5198272304	0.1791210508
