iter	Passed	Remaining
0	317	1269407
1	425	851053
2	535	713738
3	644	643443
4	754	602659
5	913	608274
6	1024	584577
7	1137	567808
8	1252	555492
9	1366	545063
10	1538	557882
11	1658	551140
12	1779	545768
13	1900	541187
14	2022	537434
15	2206	549535
16	2316	542712
17	2435	538720
18	2556	535730
19	2680	533330
20	2865	543011
21	2988	540443
22	3111	537953
23	3230	535179
24	3351	532950
25	3541	541336
26	3662	538875
27	3783	536733
28	3905	534827
29	4035	533967
30	4230	541602
31	4351	539609
32	4471	537570
33	4611	537880
34	4728	535631
35	4917	541508
36	5040	539879
37	5163	538337
38	5290	537344
39	5413	535945
40	5615	542207
41	5738	540744
42	5860	539281
43	5980	537735
44	6102	536354
45	6303	541840
46	6426	540537
47	6550	539346
48	6676	538342
49	6798	537056
50	7000	542053
51	7119	540569
52	7239	539102
53	7351	537221
54	7464	535413
55	7654	539066
56	7764	537122
57	7874	535214
58	7983	533249
59	8092	531407
60	8278	534567
61	8387	532764
62	8501	531299
63	8615	529830
64	8726	528297
65	8911	531185
66	9031	530185
67	9156	529478
68	9282	528810
69	9404	527978
70	9612	531954
71	9737	531239
72	9854	530098
73	9974	529169
74	10098	528514
75	10313	532490
76	10430	531406
77	10545	530241
78	10656	528931
79	10779	528204
80	10986	531560
81	11113	530996
82	11236	530288
83	11368	529979
84	11491	529297
85	11699	532480
86	11821	531710
87	11944	531004
88	12067	530284
89	12176	529013
90	12365	531187
91	12486	530415
92	12610	529761
93	12734	529146
94	12860	528635
95	13070	531528
96	13195	530956
97	13321	530426
98	13445	529821
99	13571	529279
100	13781	532031
101	13905	531392
102	14026	530700
103	14152	530172
104	14275	529563
105	14481	531987
106	14604	531374
107	14726	530714
108	14852	530190
109	14974	529566
110	15182	531925
111	15302	531207
112	15418	530366
113	15530	529383
114	15640	528364
115	15834	530197
116	15942	529116
117	16055	528186
118	16163	527154
119	16279	526355
120	16462	527765
121	16576	526901
122	16686	525955
123	16798	525079
124	16911	524255
125	17098	525699
126	17207	524758
127	17317	523863
128	17426	522929
129	17537	522065
130	17727	523555
131	17837	522701
132	17946	521793
133	18057	520963
134	18166	520090
135	18359	521626
136	18477	521010
137	18591	520301
138	18700	519436
139	18807	518553
140	18996	519902
141	19106	519104
142	19216	518320
143	19325	517495
144	19433	516654
145	19619	517888
146	19728	517094
147	19842	516437
148	19951	515660
149	20059	514861
150	20254	516298
151	20363	515526
152	20471	514727
153	20579	513954
154	20686	513166
155	20873	514343
156	20981	513570
157	21095	512962
158	21211	512418
159	21323	511753
160	21525	513280
161	21639	512662
162	21751	512037
163	21862	511368
164	21972	510684
165	22156	511727
166	22265	511050
167	22374	510346
168	22486	509747
169	22597	509105
170	22783	510153
171	22899	509646
172	23011	509038
173	23117	508329
174	23226	507668
175	23412	508699
176	23521	508038
177	23630	507384
178	23740	506767
179	23847	506102
180	24033	507087
181	24141	506434
182	24249	505789
183	24360	505215
184	24471	504639
185	24653	505534
186	24762	504914
187	24872	504332
188	24982	503747
189	25096	503246
190	25282	504189
191	25389	503559
192	25498	502966
193	25605	502343
194	25714	501766
195	25897	502616
196	26004	502012
197	26114	501451
198	26221	500851
199	26329	500267
200	26515	501164
201	26624	500585
202	26732	500020
203	26841	499455
204	26949	498889
205	27134	499744
206	27243	499193
207	27351	498636
208	27459	498090
209	27568	497539
